channelID,channel_name,channel_country,ad_percentage
UCz4a7agVFr1TxU-mpAP8hkw,Mohak Mangal,IN,6.11%
UCboMX_UNgaPBsUOIgasn3-Q,Funhaus,,6.10%
UCC-UOdK8-mIjxBQm_ot1T-Q,Cracking The Cryptic,GB,6.10%
UC3nPaf5MeeDTHA2JN7clidg,Bellular News,GB,6.07%
UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack,US,6.07%
UC7-hR5EfgpM6oHfiGDkxfMA,Tolarian Community College,US,6.07%
UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,US,6.06%
UCfcc8OORrouV1lO_qeIZVNQ,Jimmy Here,US,6.05%
UCfOrKQtC1tDfGf_fFVb8pYw,TronicsFix,US,6.04%
UCr2EXJtFMunvG0CmYE3Tj8A,Асафьев Стас,RU,6.02%
UCTrSsPMmZavLbc3Ex7VhjDg,Brandon Herrera,US,6.02%
UCh8f8vssLddD2PbnU3Ag_Bw,Cleetus McFarland,US,6.01%
UC1CchA0SjApw4T-AYkN7ytg,IGM,RU,5.98%
UCNZRrSsvl_NumVIDAVNQOMA,PollmixaN,RU,5.94%
UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,RU,5.91%
UCV5mGxp-rtsGDAedDYnp7hA,Off The Ranch,US,5.89%
UC7NdSlaer9fnPwUOPuebLBQ,iling show,RU,5.88%
UCKGMHVipEvuZudhHD05FOYA,Simplicissimus,DE,5.83%
UCSq3p5NKEtyp5Rjd4ctiEbg,Task & Purpose,US,5.81%
UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,US,5.79%
UCk94O116OXhPAOWZM7S2Leg,Ремонтяш,RU,5.78%
UClVF8RcTN3UqAognWFGlJcg,Stephanie Harlowe,US,5.76%
UCz2iUx-Imr6HgDC3zAFpjOw,David Bennett,GB,5.76%
UCWyRlMktpKbfefqBQk8U6Nw,Izzzyzzz,,5.76%
UCoL8olX-259lS1N6QPyP4IQ,Action Retro,US,5.72%
UCE-f0sqi-H7kuLT0YiW9rcA,TheLazyPeon,US,5.71%
UCwdEr_DVvYp6Maf-OTw7z_w,Toasty Bros,US,5.70%
UCj4wNr7wbNnQuf4ELkXxcgw,CombatCrew Live,RU,5.70%
UC5hcH25pD-rgIlQvzErgE7A,oblomoff,RU,5.68%
UC1FvG76TSFV5prFkA_xoaLw,МАШИНАТОРЫ,US,5.68%
UCgMJGv4cQl8-q71AyFeFmtg,ScreenCrush,US,5.66%
UCaTcgqhFqYzhrLQzaibPyeA,Jan Piński,PL,5.64%
UCqWFLuBLPiaeNzYAek6BOmA,Autoalex Cars ,GB,5.63%
UCfV0_wbjG8KJADuZT2ct4SA,Rich Rebuilds,US,5.62%
UCkW08S8kLAhrmV1nRtA77Wg,Fenya,RU,5.61%
UC7SeFWZYFmsm1tqWxfuOTPQ,Count Dankula,GB,5.59%
UCMPaqKDJ0EuR32XXnE__SKw,MoreGames,RS,5.59%
UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,VN,5.58%
UCwKvys5yPdbGrotJHA_B3DQ,Damian Olszewski - Praktycznie o pieniądzach,PL,5.57%
UCyZVCV9xhrCyz4hPehvb4Wg,Internet Today,US,5.56%
